model,method,guesser_model,board_seed,board_style,trial,status,stage,outcome,game_length,targets_found,target_recovery_rate,assassin_hit,codemaster_attempts,codemaster_rejected,codemaster_compliance_rate,codemaster_call_failures,guesser_attempts,guesser_rejected,guesser_compliance_rate,guesser_call_failures,started_at,duration_s,terminal_error,error
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,0,dual_0,0,ok,,loss,3,4,0.4444444444444444,True,3,0,1.0,0,7,0,1.0,0,2026-08-19T22:53:58.147947+00:00,37.132,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,1,dual_0,0,ok,,win,9,9,1.0,False,9,0,1.0,0,16,0,1.0,0,2026-08-19T22:54:22.833818+00:00,96.052,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,2,dual_0,0,ok,,win,13,9,1.0,False,14,1,0.9285714285714286,0,21,0,1.0,0,2026-08-19T22:56:15.097358+00:00,131.468,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,3,dual_0,0,ok,,win,11,9,1.0,False,12,1,0.9166666666666666,0,18,0,1.0,0,2026-08-19T22:58:17.694118+00:00,110.508,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,4,dual_0,0,ok,,win,7,9,1.0,False,8,1,0.875,0,15,0,1.0,0,2026-08-19T23:00:08.202494+00:00,84.16,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,0,dual_100,0,ok,,win,10,9,1.0,False,10,0,1.0,0,18,0,1.0,0,2026-08-19T23:26:47.840872+00:00,108.606,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,1,dual_100,0,ok,,win,9,9,1.0,False,10,1,0.9,0,17,0,1.0,0,2026-08-19T23:29:07.801020+00:00,99.876,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,2,dual_100,0,ok,,win,7,9,1.0,False,7,0,1.0,0,14,0,1.0,0,2026-08-19T23:31:05.535937+00:00,79.06,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,3,dual_100,0,ok,,loss,9,6,0.6666666666666666,True,10,1,0.9,0,15,0,1.0,0,2026-08-19T23:32:43.812118+00:00,91.742,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,4,dual_100,0,ok,,win,11,9,1.0,False,12,1,0.9166666666666666,0,20,1,0.95,0,2026-08-19T23:34:17.504920+00:00,114.921,,
