model,method,board_seed,trial,status,stage,outcome,game_length,targets_found,target_recovery_rate,assassin_hit,codemaster_attempts,codemaster_rejected,codemaster_compliance_rate,codemaster_call_failures,guesser_attempts,guesser_rejected,guesser_compliance_rate,guesser_call_failures,terminal_error,error
meta-llama/llama-3.3-70b-instruct,strong_hebrew,0,0,ok,,loss,7,5,0.5555555555555556,True,7,0,1.0,0,14,2,0.8571428571428571,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,1,0,ok,,loss,11,9,1.0,True,12,1,0.9166666666666666,0,19,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,2,0,ok,,loss,7,6,0.6666666666666666,True,8,1,0.875,0,17,4,0.7647058823529411,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,3,0,ok,,loss,13,8,0.8888888888888888,True,13,0,1.0,0,19,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,0,0,ok,,loss,7,4,0.4444444444444444,True,11,4,0.6363636363636364,0,10,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,1,0,ok,,win,5,9,1.0,False,8,3,0.625,0,12,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,2,0,ok,,loss,3,1,0.1111111111111111,True,3,0,1.0,0,4,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,3,0,ok,,loss,14,8,0.8888888888888888,True,27,13,0.5185185185185185,0,24,3,0.875,0,,
qwen/qwen3.5-9b,strong_hebrew,0,0,ok,,loss,6,4,0.4444444444444444,True,11,5,0.5454545454545454,0,10,0,1.0,0,,
qwen/qwen3.5-9b,strong_hebrew,1,0,ok,,codemaster_failure,0,0,0.0,False,6,6,0.0,1,0,0,,0,Codemaster qwen/qwen3.5-9b/strong_hebrew failed after 6 attempts: clue 'סוכה' must not be a word already on the board,
qwen/qwen3.5-9b,strong_hebrew,2,0,ok,,loss,12,6,0.6666666666666666,True,24,12,0.5,0,18,1,0.9444444444444444,0,,
qwen/qwen3.5-9b,strong_hebrew,3,0,ok,,loss,12,7,0.7777777777777778,True,18,6,0.6666666666666666,0,26,7,0.7307692307692307,0,,
qwen/qwen3.5-9b,translate_pipeline,0,0,ok,,codemaster_failure,11,7,0.7777777777777778,False,20,9,0.55,1,21,3,0.8571428571428571,0,Codemaster qwen/qwen3.5-9b/translate_pipeline failed after 6 attempts: Model qwen/qwen3.5-9b failed to produce valid JSON after 1 attempts: Could not parse JSON: Unterminated string starting at: line 8 column 14 (char 89),
qwen/qwen3.5-9b,translate_pipeline,1,0,ok,,loss,2,2,0.2222222222222222,True,2,0,1.0,0,4,0,1.0,0,,
qwen/qwen3.5-9b,translate_pipeline,2,0,ok,,loss,11,5,0.5555555555555556,True,24,13,0.4583333333333333,0,17,1,0.9411764705882353,0,,
qwen/qwen3.5-9b,translate_pipeline,3,0,ok,,loss,8,6,0.6666666666666666,True,15,7,0.5333333333333333,0,15,2,0.8666666666666667,0,,
openai/gpt-4o-mini,strong_hebrew,0,0,ok,,loss,9,8,0.8888888888888888,True,10,1,0.9,0,17,1,0.9411764705882353,0,,
openai/gpt-4o-mini,strong_hebrew,1,0,ok,,win,7,9,1.0,False,9,2,0.7777777777777778,0,15,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,2,0,ok,,loss,6,3,0.3333333333333333,True,7,1,0.8571428571428571,0,9,0,1.0,0,,
openai/gpt-4o-mini,strong_hebrew,3,0,ok,,loss,12,7,0.7777777777777778,True,15,3,0.8,0,21,2,0.9047619047619048,0,,
openai/gpt-4o-mini,translate_pipeline,0,0,ok,,loss,8,8,0.8888888888888888,True,8,0,1.0,0,16,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,1,0,ok,,loss,6,6,0.6666666666666666,True,10,4,0.6,0,12,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,2,0,ok,,loss,7,5,0.5555555555555556,True,8,1,0.875,0,11,0,1.0,0,,
openai/gpt-4o-mini,translate_pipeline,3,0,ok,,loss,14,8,0.8888888888888888,True,19,5,0.7368421052631579,0,26,4,0.8461538461538461,0,,
