model,method,board_seed,trial,status,stage,clue,count,guesses_before_miss,turn_outcome,assassin_hit,target_recovery_rate,intended_recall,intended_precision
meta-llama/llama-3.3-70b-instruct,strong_hebrew,0,0,ok,,ידיד,3,2,hit_civilian,False,0.6666666666666666,0.5,0.5
meta-llama/llama-3.3-70b-instruct,strong_hebrew,0,1,ok,,ידיד,3,2,hit_civilian,False,0.6666666666666666,0.5,0.5
meta-llama/llama-3.3-70b-instruct,strong_hebrew,0,2,ok,,ידיד,3,2,hit_civilian,False,0.6666666666666666,0.5,0.5
meta-llama/llama-3.3-70b-instruct,strong_hebrew,1,0,ok,,קולנוע,2,2,hit_opponent,False,1.0,1.0,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,1,1,ok,,קולנוע,2,2,hit_opponent,False,1.0,1.0,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,1,2,ok,,קולנוע,2,2,hit_opponent,False,1.0,1.0,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,2,0,ok,,מדע,3,1,hit_opponent,False,0.3333333333333333,0.3333333333333333,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,2,1,ok,,מדע,3,1,hit_opponent,False,0.3333333333333333,0.3333333333333333,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,2,2,ok,,גלקסיה,3,3,hit_civilian,False,1.0,0.6666666666666666,0.6666666666666666
meta-llama/llama-3.3-70b-instruct,strong_hebrew,3,0,ok,,אוויר,3,0,hit_opponent,False,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,3,1,ok,,אוויר,3,1,hit_opponent,False,0.3333333333333333,0.3333333333333333,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,3,2,ok,,שמיים,3,2,hit_opponent,False,0.6666666666666666,0.6666666666666666,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,4,0,ok,,שמש,3,2,hit_civilian,False,0.6666666666666666,0.6666666666666666,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,4,1,format_failure,codemaster,,,,,,,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,4,2,ok,,אש,3,0,hit_civilian,False,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,5,0,ok,,תנועה,3,0,hit_opponent,False,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,5,1,ok,,תנועה,3,0,hit_opponent,False,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,5,2,ok,,חי,3,1,hit_civilian,False,0.3333333333333333,0.3333333333333333,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,6,0,ok,,קולנוע,3,1,hit_opponent,False,0.3333333333333333,0.3333333333333333,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,6,1,ok,,קולנוע,2,1,hit_opponent,False,0.5,0.5,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,6,2,ok,,טכנולוגיה,3,2,hit_opponent,False,0.6666666666666666,0.6666666666666666,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,7,0,ok,,דת,2,1,hit_civilian,False,0.5,0.5,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,7,1,ok,,דת,3,1,hit_civilian,False,0.3333333333333333,0.5,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,7,2,ok,,דת,3,1,hit_civilian,False,0.3333333333333333,0.5,1.0
